"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Reach 11 Detention Dike 1","","","AZ82914","","AZ82914","RECLAMATION","Federal","Federal","3","","No","","","Bureau of Reclamation","","33.6541237479","-111.968536635","Arizona","Maricopa","","0","NONE","Congressional District 01, Arizona","S32, T4N, R4E","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","","No","N/A","Earth","Earth","Bituminous Concrete","Rock","35","29","35","35","25-50 feet","18739","3235000","1977","1970-1979","","19500","19500","19500","","34","","Controlled","0","0","0","","0","","","2021-05-24","2020-08-13","1","High","Not Available","","Yes","2020-10-20","https://www.usbr.gov/ssle/damsafety/","","",""
"Reservation","","","AZ10425","","AZ10425","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","33.84053","-109.5038","Arizona","Apache","NONE","0","RESERVATION CREEK","Congressional District 02, Arizona","S9 T5N R27E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","54","54","51-100 feet","1150","0","1965","1960-1969","","6000","","6000","","","","Controlled","0","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2011-04-28","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Fort Apache Reservation"
"Asaayi","Bowl Lake","","NM00285","","NM00285","BIA","Federal","Federal","0","","No","Irrigation","Irrigation;Recreation","Bureau of Indian Affairs","","35.97724","-108.9312","New Mexico","McKinley","FT. DEFIANCE","18","BOWL CANYON CREEK","Congressional District 03, New Mexico","UNSURVEYED","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","66","66","51-100 feet","610","0","1964","1960-1969","","1060","","1060","","","","Controlled","0","0","0","","0","","","2018-10-04","2012-09-26","5","High","Not Available","","Yes","2012-04-10","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Navajo Nation Reservation"
"Shush Be Zahze","Little Bear","","AZ10429","","AZ10429","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","34.0595","-109.72460000000001","Arizona","Apache","NONE","0","BOG CREEK","Congressional District 02, Arizona","S29 T8N R25E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","37","37","25-50 feet","370","0","1966","1960-1969","","160","","160","","","","Controlled","0","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2011-04-28","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Fort Apache Reservation"
"Grand Park Detention Basin Dam","","","NV10952","","NV10952","HOWARD HUGHES CORPORATION","Private","Private","","VTN","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-766","36.193200000000004","-115.354","Nevada","Clark","Las Vegas","0","Gowan","Congressional District 03, Nevada","","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Bituminous Concrete","Soil","20","0","0","20","Less than 25 feet","1428","124214","2023","Since 2000","","168","168","0","12.200000000000001","1.3","2718","Uncontrolled","300","","","","","","None","2023-05-25","","0","High","Fair","","Yes","","https://damsafety.org/nevada","","",""
"Bob Crowder Detention Dam","Bob Crowder Memorial Dam","Coyote Peak Detention Dam","AZ20003","","AZ20003","DOI BLM","Federal","Federal","0","BLM","No","Other","Other","Bureau of Land Management","L63342","33.47586","-113.71784","Arizona","La Paz","BOUSE, AZ","40","UPPER BOUSE WASH","Congressional District 09, Arizona","S32, 0020N, 0140W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","24","27","27","25-50 feet","3067","117200","1963","1960-1969","","1167.98","1167.98","621.16","103.67","48","2767","","","0","0","","0","","","2021-04-29","2006-04-18","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Hx Detention Dam","","","AZ20015","","AZ20015","DOI BLM","Federal","Federal","","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63376","32.44491","-109.50832","Arizona","Graham","SOLOMON, AZ","30","GOLD GULCH","Congressional District 06, Arizona","","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","","","Earth;Unlisted/Unknown","Unlisted/Unknown","","33","3","33","25-50 feet","3600","245000","1956","1950-1959","","1660","1600","1660","265","147","3578","Uncontrolled","2.5","0","0","","0","","","2021-04-29","2014-07-28","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Caselton No  4 Dam","","","NV00185","","NV00185","BUNKER HILL MINING","Private","Private","0","","Yes","Tailings","Tailings","Nevada","","37.901700000000005","-114.48977","Nevada","Lincoln","CALIENTE","20","MEADOW VALEY WASH-TR","Congressional District 04, Nevada","203 N01 E67 32D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","32","0","0","32","25-50 feet","100","0","","Undetermined","","34","34","0","10","0.2","0","None","0","","","","","","None0","2023-05-25","2018-05-02","5","Low","Fair","2018-05-02","Not Required","","https://damsafety.org/nevada","","",""
"Reservoir Dike","","","AZ20022","","AZ20022","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L1825741","32.71004","-109.59917","Arizona","Graham","","","","Congressional District 06, Arizona","S29, 80S, 270E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","16","20","20","Less than 25 feet","1050","20000","1975","1970-1979","","124.71000000000001","124.71000000000001","48.620000000000005","11.94","1.26","354","","","0","0","","0","","","2021-04-29","2012-02-14","5","Low","Not Rated","","Not Required","","https://www.blm.gov/","","",""
"Drift Fence","","","AZ10421","","AZ10421","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","33.82147","-109.5385","Arizona","Apache","NONE","0","PACHETA CREEK","Congressional District 02, Arizona","S18 T5N R27E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","19","19","Less than 25 feet","300","0","1963","1960-1969","","130","","130","","","","Controlled","0","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2011-04-28","https://www.bia.gov/bia/ots/dwp/safety-dams","","","Fort Apache Reservation"
"Oso Largo Dam","","","AZ20020","","AZ20020","DOI BLM","Federal","Federal","","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63367","32.91561","-109.91031","Arizona","Graham","FORT THOMAS, AZ","12","GILA RIVER","Congressional District 06, Arizona","","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth","Soil","","21","26","26","25-50 feet","4625","86109","1971","1970-1979","","616.7","616.7","120","241","93.7","5442","Uncontrolled","5","0","0","","0","","","2021-04-29","2010-08-20","5","Low","Unsatisfactory","","Not Required","","https://www.blm.gov/","","",""
"Upper Point of Pines","Upper Point of Pines","","AZ11000","","AZ11000","BIA","Federal","Federal","0","","No","Recreation","Recreation","Bureau of Indian Affairs","","33.347100000000005","-109.8057","Arizona","Graham","NONE","0","POINT OF PINES CREEK","Congressional District 02, Arizona","S17 T1S R25E 14","No","No","","No","No","No","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","29","29","25-50 feet","500","0","1970","1970-1979","","70","","70","","","","Controlled","0","0","0","","0","","","2018-10-04","","5","High","Not Available","","Yes","2013-12-17","https://www.bia.gov/bia/ots/dwp/safety-dams","","","San Carlos Reservation"
"Stanford Detention Dam 2","","","NM00115","","NM00115","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L1824568","32.560539999999996","-108.98566","New Mexico","Hidalgo","DUNCAN, AZ","11","RAILROAD WASH","Congressional District 02, New Mexico","S14, 200S, 210W","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","13","18","18","Less than 25 feet","650","25000","1952","1950-1959","","79.63","79.63","43","19","3.2","1002.3000000000001","Uncontrolled","0.96","0","0","","0","","","2021-04-29","2010-08-25","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Round Mountain Detention Dam 2","","","AZ20023","","AZ20023","DOI BLM","Federal","Federal","0","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63373","32.54387","-109.08982","Arizona","Greenlee","LAZY B RANCH HEADQUARTERS","1.25","ROUND MOUNTAIN DRAW WASH","Congressional District 06, Arizona","S20, 0100S, 0320E","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","27","30","30","25-50 feet","1200","71443","1954","1950-1959","","920","920","650","75","32.35","5250","Uncontrolled","3","0","0","","0","","","2021-04-29","2005-05-18","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Round Mountain Detention Dam 1","Big Tank Detention Dam","","AZ10345","","AZ10345","DOI BLM","Federal","Federal","","BUREAU OF LAND MANAGEMENT","No","Flood Risk Reduction","Flood Risk Reduction","Bureau of Land Management","L63372","32.52778","-109.14722","Arizona","Greenlee","FRANKLIN, AZ","12","ROUND MOUNTAIN DRAW","Congressional District 06, Arizona","","No","No","","No","No","No","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Bureau of Land Management","Yes","Bureau of Land Management","Bureau of Land Management","","No","N/A","Gravity","Gravity","Earth;Unlisted/Unknown","Unlisted/Unknown","","12","22","22","Less than 25 feet","2109","25992","1954","1950-1959","","116","116","48.6","29.1","19.3","4424","Uncontrolled","2","0","0","","0","","","2021-04-29","2011-07-28","5","Low","Fair","","Not Required","","https://www.blm.gov/","","",""
"Sand Hollow North Dam","","","UT50414","","UT50414","WASHINGTON COUNTY WATER CONSERVANCY DIST","Private","Private","0","RB&G Engineering","No","Water Supply","Water Supply","Utah","UT50414","37.12900979","-113.3715307","Utah","Washington","Washington","","Off Channel","Congressional District 02, Utah","13,42S~14W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","","","Earth","Rock","","91","98","98","51-100 feet","3221","","2002","Since 2000","","60958","60958","51360","","","264","","20","","","","","","","2021-03-17","2020-10-06","1","High","Satisfactory","2002-01-01","Yes","","https://damsafety.org/utah","","",""
"Hoover","Boulder","","NV10122","","NV10122","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Hydroelectric","Hydroelectric;Irrigation;Water Supply","Bureau of Reclamation","","36.0163","-114.73740000000001","Nevada","Clark","LAUGHLIN","70","COLORADO RIVER","Congressional District 01, Nevada","","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Concrete","Concrete;Arch;Gravity","Bituminous Concrete","Rock","730","592","730","730","Greater than 100 feet","1244","3250000","1935","1930-1939","","30237000","30237000","28255000","162700","167800","200000","Controlled","400","0","0","","0","","","2022-04-07","2020-04-16","1","High","Not Available","","Yes","2017-08-09","https://www.usbr.gov/ssle/damsafety/","","",""
"Caselton No  8 Dam","","","NV00183","","NV00183","BUNKER HILL MINING","Private","Private","0","","Yes","Tailings","Tailings","Nevada","","37.898700000000005","-114.48974","Nevada","Lincoln","CALIENTE","20","MEADOW VALLEY WASH-TR","Congressional District 04, Nevada","203 N01 E67 32D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","34","30","34","34","25-50 feet","820","54400","1960","1960-1969","","34","34","28","5","0.8","0","None","0","","","","","","None0","2023-05-25","2018-05-02","5","Low","Fair","2018-05-02","Not Required","","https://damsafety.org/nevada","","",""
"Lake Las Vegas Dam","Lake Adair","Lake At Las Vegas","NV10153","","NV10153","LAKE LAS VEGAS MASTER ASSOCIATION","Private","Private","0","KIMLEY-HORN;RBF CONSULTING;TIPTON & KALMBACH","No","Recreation","Recreation","Nevada","J-678","36.1197","-114.9097","Nevada","Clark","NONE","0","LAS VEGAS WASH","Congressional District 04, Nevada","215 S21 E63 14D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","133","123","165","165","Greater than 100 feet","4208","2550000","1991","1990-1999","1997O;1998H","10600","10600","9960","320","140","90700","Controlled","300","","","","","","Slide (sluice gate)1;Uncontrolled1","2023-05-25","2021-12-15","3","Significant","Fair","2021-12-15","Yes","2022-01-13","https://damsafety.org/nevada","","",""
"South Edge East 1 Headworks Detention Basin Dam","","Headworks Detention Basin","NV10648","","NV10648","CITY OF HENDERSON","Local Government","Local Government","0","VTN NEVADA","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-576","35.922000000000004","-115.11800000000001","Nevada","Clark","HENDERSON","0","PITTMAN WASH-TR","Congressional District 01, Nevada","212 S23 E61 25B","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Rock;Soil","33","21","37","37","25-50 feet","2900","470600","2008","Since 2000","","789","789","0","53","23.8","92910","Uncontrolled","550","","","","","","Uncontrolled2","2023-05-25","2023-05-02","1","High","Fair","2023-05-02","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Davis Bor","","","AZ10309","","AZ10309","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Hydroelectric","Hydroelectric","Bureau of Reclamation","","35.1959","-114.57000000000001","Arizona","Mohave","BULLHEAD CITY","4","COLORADO RIVER","Congressional District 09, Arizona","S19, T21N, R21W","No","No","","No","No","No","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Yes","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","200","140","200","200","Greater than 100 feet","1600","3642000","1952","1950-1959","","1592300","1592300","1592300","28200","923","216000","Controlled","150","0","0","","0","","","2021-05-24","2020-05-12","1","High","Not Available","","Yes","2017-08-09","https://www.usbr.gov/ssle/damsafety/","","",""
